author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Lizzie,Ortiz-Cam,National Forest and Wildlife Service (SERFOR),Lisa,Jones-Engel,President of People for the Ethical Treatment of Animals (PETA),Patricia,Mendoza,Asociación Neotropical Primate Conservation Perú,Ricardo,Castillo-Neyra,Universidad Peruana Cayetano Heredia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sage D.,Rohrer,"University of Missouri-St. Louis, Department of Biology",Gustavo,Jiménez-Uzcátegui,Charles Darwin Foundation Santa Cruz,Patricia G.,Parker,"University of Missouri-St. Louis, Department of Biology",Lon M.,Chubiz,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joshua W.,Reid,Texas Tech University,Samuel J.,Polizzi,Middle Tennessee State University,Yicong,Zhu,Stony Brook University,Siying,Jiang,Stony Brook University,Brandon,Ofem,University of Missouri-St. Louis,Sara,Salisbury,Middle Tennessee State University,Michael,Beeth,University of Wisconsin Oshkosh,Margaret,Mohr-Schroeder,University of Kentucky,Keith,Sheppard,Stony Brook University,Gillian,Roehrig,University of Minnesota Twin Cities,Gregory T.,Rushton,Middle Tennessee State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edwin,Pos,Universiteit Utrecht,Luiz,de Souza Coelho,Instituto Nacional de Pesquisas Da Amazonia,Diogenes,de Andrade Lima Filho,Instituto Nacional de Pesquisas Da Amazonia,Rafael P.,Salomão,Universidade Federal Rural da Amazonia,Iêda Leão,Amaral,Instituto Nacional de Pesquisas Da Amazonia,Francisca Dionízia,de Almeida Matos,Instituto Nacional de Pesquisas Da Amazonia,Carolina V.,Castilho,EMBRAPA – Centro de Pesquisa Agroflorestal de Roraima,Oliver L.,Phillips,University of Leeds,Juan Ernesto,Guevara,Universidad de las Americas - Ecuador,Marcelo,de Jesus Veiga Carim,Instituto de Pesquisas Científicas e Tecnológicas do Amapá - IEPA,Dairon Cárdenas,López,Institute of Amazonian Research-Sinchi,William E.,Magnusson,Instituto Nacional de Pesquisas Da Amazonia,Florian,Wittmann,Karlsruher Institut für Technologie,Mariana Victória,Irume,Instituto Nacional de Pesquisas Da Amazonia,Maria Pires,Martins,Instituto Nacional de Pesquisas Da Amazonia,Daniel,Sabatier,Université de Montpellier,José Renan,da Silva Guimarães,Instituto de Pesquisas Científicas e Tecnológicas do Amapá - IEPA,Jean François,Molino,Université de Montpellier,Olaf S.,Bánki,Naturalis Biodiversity Center,Maria Teresa Fernandez,Piedade,Instituto Nacional de Pesquisas Da Amazonia,Nigel C.A.,Pitman,Field Museum of Natural History,Abel Monteagudo,Mendoza,Jardin Botanico de Missouri,José Ferreira,Ramos,Instituto Nacional de Pesquisas Da Amazonia,Joseph E.,Hawes,Anglia Ruskin University,Everton José,Almeida,Universidade Federal de Mato Grosso,Luciane Ferreira,Barbosa,Universidade Federal de Mato Grosso,Larissa,Cavalheiro,Universidade Federal de Mato Grosso,Márcia Cléia Vilela,dos Santos,Universidade Federal de Mato Grosso,Bruno Garcia,Luize,"Universidade Estadual Paulista ""Júlio de Mesquita Filho""",Evlyn Márcia Moraes,de Leão Novo,Instituto Nacional de Pesquisas Espaciais
Andrea,Fentem,Washington University School of Medicine in St. Louis,Raven,Riordan,Washington University School of Medicine in St. Louis,Christine,Doroshenko,Washington University School of Medicine in St. Louis,Xiao,Li,Washington University School of Medicine in St. Louis,Erin,Kasson,Washington University School of Medicine in St. Louis,Devin,Banks,University of Missouri-St. Louis,Rachel P.,Winograd,Missouri Institute of Mental Health,Patricia,Cavazos-Rehg,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin E.,Banks,University of Missouri-St. Louis,Alex,Duello,Missouri Institute of Mental Health,Maria E.,Paschke,University of Missouri-St. Louis,Sheila R.,Grigsby,University of Missouri-St. Louis,Rachel P.,Winograd,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruyi,Fan,National Key Laboratory of Crop Genetic Improvement,Fen,Zhao,National Key Laboratory of Crop Genetic Improvement,Zhou,Gong,"Innovation Academy for Precision Measurement Science and Technology,CAS",Yanke,Chen,"Innovation Academy for Precision Measurement Science and Technology,CAS",Bao,Yang,National Key Laboratory of Crop Genetic Improvement,Chen,Zhou,National Key Laboratory of Crop Genetic Improvement,Jie,Zhang,National Key Laboratory of Crop Genetic Improvement,Zhangmeng,Du,National Key Laboratory of Crop Genetic Improvement,Xuemin,Wang,"University of Missouri-St. Louis, Department of Biology",Ping,Yin,National Key Laboratory of Crop Genetic Improvement,Liang,Guo,National Key Laboratory of Crop Genetic Improvement,Zhu,Liu,National Key Laboratory of Crop Genetic Improvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francesca L.,Beaudoin,Brown University,Xinming,An,The University of North Carolina at Chapel Hill,Archana,Basu,Harvard T.H. Chan School of Public Health,Yinyao,Ji,The University of North Carolina at Chapel Hill,Mochuan,Liu,The University of North Carolina at Chapel Hill,Ronald C.,Kessler,Harvard Medical School,Robert F.,Doughtery,Mindstrong Health,Donglin,Zeng,The University of North Carolina at Chapel Hill,Kenneth A.,Bollen,The University of North Carolina at Chapel Hill,Stacey L.,House,Washington University School of Medicine in St. Louis,Jennifer S.,Stevens,Emory University School of Medicine,Thomas C.,Neylan,"University of California, San Francisco",Gari D.,Clifford,Emory University School of Medicine,Tanja,Jovanovic,Wayne State University,Sarah D.,Linnstaedt,The University of North Carolina at Chapel Hill,Laura T.,Germine,McLean Hospital,Scott L.,Rauch,McLean Hospital,John P.,Haran,University of Massachusetts Chan Medical School,Alan B.,Storrow,Vanderbilt University Medical Center,Christopher,Lewandowski,Henry Ford Health System,Paul I.,Musey,Indiana University School of Medicine,Phyllis L.,Hendry,University of Florida College of Medicine,Sophia,Sheikh,University of Florida College of Medicine,Christopher W.,Jones,Cooper Medical School of Rowan University,Brittany E.,Punches,University of Cincinnati College of Medicine,Michael C.,Kurz,University of Alabama at Birmingham School of Medicine,Robert A.,Swor,Oakland University William Beaumont School of Medicine,Vishnu P.,Murty,Temple University,Meghan E.,McGrath,Boston Medical Center,Lauren A.,Hudak,Emory University School of Medicine
Eiji,Goto,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali E.,Abbas,University of Southern California,Andrea C.,Hupman,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shakiba,Enayati,College of Business Administration,James F.,Campbell,College of Business Administration,Haitao,Li,College of Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahir Bilen,Can,Tulane University,Roy,Joshua,The Ohio State University,G. V.,Ravindra,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James,Chickos,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy P.,Dombrowski,University of Missouri-St. Louis,Rajesh P.,Narayanan,Louisiana State University,R. Kelley,Pace,Louisiana State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iris,Hordijk,ETH Zürich,Daniel S.,Maynard,ETH Zürich,Simon P.,Hart,The University of Queensland,Mo,Lidong,ETH Zürich,Hans,ter Steege,Naturalis Biodiversity Center,Jingjing,Liang,Purdue University,Sergio,de-Miguel,Universitat de Lleida,Gert Jan,Nabuurs,Wageningen University & Research,Peter B.,Reich,University of Minnesota Twin Cities,Meinrad,Abegg,"Eidgenössische Forschungsanstalt für Wald, Schnee und Landschaft WSL",C. Yves,Adou Yao,University of Cocody,Giorgio,Alberti,Free University of Bozen-Bolzano,Angelica M.,Almeyda Zambrano,University of Florida,Braulio V.,Alvarado,Instituto Tecnológico de Costa Rica,Alvarez Davila,Esteban,Universidad Nacional Abierta y a Distancia,Patricia,Alvarez-Loayza,Field Museum of Natural History,Luciana F.,Alves,"University of California, Los Angeles",Christian,Ammer,Georg-August-Universität Göttingen,Clara,Antón-Fernández,The Norwegian Institute of Bioeconomy Research,Alejandro,Araujo-Murakami,Museo de Historia Natural Noel Kempff Mercado,Luzmila,Arroyo,Museo de Historia Natural Noel Kempff Mercado,Valerio,Avitabile,European Commission Joint Research Centre,Gerardo A.,Aymard C,Venezuela Compensation International S. A. Ci Progress-GreenLife,Timothy,Baker,University of Leeds,Radomir,Bałazy,Instytut Badawczy LeŜnictwa,Olaf,Banki,Vrije Universiteit Amsterdam,Jorcely,Barroso,Universidade Federal do Acre,Meredith L.,Bastian,National Academy of Sciences,Jean Francois,Bastin,Université de Liège,Luca,Birigazzi,United Nations Framework Convention on Climate Change
Younas,Khan,University of Missouri-St. Louis,Erika L.,Gibb,University of Missouri-St. Louis,Nathan X.,Roth,Universities Space Research Association,Michael A.,DiSanti,NASA Goddard Space Flight Center,Neil,Dello Russo,Johns Hopkins University Applied Physics Laboratory,Boncho P.,Bonev,American University,Chemeda T.,Ejeta,University of Missouri-St. Louis,Mohammad,Saki,Auburn University,Ronald J.,Vervack,Johns Hopkins University Applied Physics Laboratory,Adam J.,McKay,Appalachian State University,Hideyo,Kawakita,Kyoto Sangyo University,Michael R.,Combi,"University of Michigan, Ann Arbor",Danna,Qasim,Southwest Research Institute,Yinsi,Shou,"University of Michigan, Ann Arbor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J. B.,Delston,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhihui,Tu,Shenzhen University,Jian,Lu,Shenzhen University,Hong,Zhu,Jiangsu University,Huan,Pan,Shenzhen University,Wenyu,Hu,GanNan Normal University,Qingtang,Jiang,University of Missouri-St. Louis,Zhaosong,Lu,University of Minnesota Twin Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iftekhar,Hasan,Fordham University,Jianfu,Shen,Hong Kong Polytechnic University,Gaiyan,Zhang,College of Business Administration,Winnie P.H.,Poon,"Lingnan University, Hong Kong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaaki,Kotabe,Waseda University,Dan,Ayebale,Kyambogo University,Janet Y.,Murray,College of Business Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S. E.,Miller,Cornell University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen,Selesnick,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quan Z.,Sheng,Macquarie University,Arun Kumar,Sangaiah,National Yunlin University of Science and Technology,Ankit,Chaudhary,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teng,Li,Nanjing Agricultural University,Xingkai,Xiao,Nanjing Agricultural University,Qingyun,Liu,Nanjing Agricultural University,Wenyan,Li,Nanjing Agricultural University,Li,Li,"Institute of Botany, Jiangsu Province and Chinese Academy of Science",Wenhua,Zhang,Nanjing Agricultural University,Teun,Munnik,Swammerdam Institute for Life Sciences,Xuemin,Wang,"University of Missouri-St. Louis, Department of Biology",Qun,Zhang,Nanjing Agricultural University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efraín,Escudero-Leyva,Universidad de Costa Rica,María Del Milagro,Granados-Montero,Universidad de Costa Rica,Cristofer,Orozco-Ortiz,Centro Nacional de Alta Tecnología (CENAT),Emmanuel,Araya-Valverde,Centro Nacional de Alta Tecnología (CENAT),Eduardo,Alvarado-Picado,San Marcos de Tarrazú,José Miguel,Chaves-Fallas,Universidad de Costa Rica,Laura,Aldrich-Wolfe,North Dakota State University,Priscila,Chaverri,Universidad de Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philip,Moons,KU Leuven,Koen,Luyckx,KU Leuven,Corina,Thomet,KU Leuven,Werner,Budts,KU Leuven– University Hospital Leuven,Junko,Enomoto,Toyo University,Maayke A.,Sluman,Universiteit van Amsterdam,Hsiao Ling,Yang,National Taiwan University College of Medicine,Jamie L.,Jackson,Nationwide Children’s Hospital,Paul,Khairy,Institut de Cardiologie de Montreal,Stephen C.,Cook,Indiana University Health,Shanthi,Chidambarathanu,Frontier Lifeline Hospital (Dr. K. M. Cherian Heart Foundation),Luis,Alday,Hospital de Niños,Erwin,Oechslin,University Health Network University of Toronto,Katrine,Eriksen,Rikshospitalet-Radiumhospitalet HF,Mikael,Dellborg,Sahlgrenska Akademin,Malin,Berghammer,Göteborgs Universitet,Bengt,Johansson,Umeå Universitet,Andrew S.,Mackie,University of Alberta,Samuel,Menahem,Monash University,Maryanne,Caruana,Mater Dei Hospital,Gruschen,Veldtman,Cincinnati Children's Hospital Medical Center,Alexandra,Soufi,Médipôle Lyon-Villeurbanne,Susan M.,Fernandes,Lucile Packard Children's Hospital Stanford,Kamila,White,Washington University in St. Louis,Edward,Callus,Gruppo Ospedaliero San Donato,Shelby,Kutty,University of Nebraska Medical Center,Adrienne H.,Kovacs,University Health Network University of Toronto,,,,,,,,,
Bing,Li,Southwest University,Cody,Ding,University of Missouri-St. Louis,Huiying,Shi,Southwest University,Fenghui,Fan,Southwest University,Liya,Guo,Southwest University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin E.,Banks,University of Missouri-St. Louis,Andrea,Fentem,Washington University School of Medicine in St. Louis,Xiao,Li,University of Missouri-St. Louis,Maria,Paschke,University of Missouri-St. Louis,Lindsey,Filiatreau,Washington University School of Medicine in St. Louis,Candice,Woolfolk,Washington University School of Medicine in St. Louis,Patricia,Cavazos-Rehg,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacob,Bolzenius,University of Missouri-St. Louis,Carlo,Sacdalan,SEARCH,Lishomwa C.,Ndhlovu,Weill Cornell Medicine Feil Family Brain & Mind Research Institute,Napapon,Sailasuta,University of Hawaii,Lydie,Trautmann,Oregon Health & Science University,Somporn,Tipsuk,SEARCH,Trevor A.,Crowell,Walter Reed Army Institute of Research,Duanghathai,Suttichom,SEARCH,Donn J.,Colby,Walter Reed Army Institute of Research,Nittaya,Phanuphak,SEARCH,Phillip,Chan,Yale School of Medicine,Thomas,Premeaux,Weill Cornell Medicine Feil Family Brain & Mind Research Institute,Eugène,Kroon,SEARCH,Sandhya,Vasan,Walter Reed Army Institute of Research,Denise C.,Hsu,Walter Reed Army Institute of Research,Victor,Valcour,"University of California, San Francisco",Jintanat,Ananworanich,Amsterdam UMC - University of Amsterdam,Merlin L.,Robb,Walter Reed Army Institute of Research,Julie A.,Ake,Oregon Health & Science University,Kilian M.,Pohl,Stanford University,Somchai,Sriplienchan,SEARCH,Serena,Spudich,Yale School of Medicine,Robert,Paul,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,
Andrea,Giuffre,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qingqing,Yin,Rutgers University–New Brunswick,Chelsey R.,Wilks,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
José,Holguín-Veras,Rensselaer Polytechnic Institute,Trilce,Encarnación,University of Missouri-St. Louis,Sofía,Pérez-Guzmán,Rensselaer Polytechnic Institute,Víctor,Cantillo,Universidad del Norte,Oriana,Calderón,Rensselaer Polytechnic Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martina,Ferraguti,Institute for Biodiversity and Ecosystem Dynamics - Amsterdam,Sergio,Magallanes,Universidad de Extremadura,Jéssica,Jiménez-Peñuela,CSIC- Estación Biológica de Doñana EBD,Josué,Martínez-de la Puente,Universidad de Granada,Luz,Garcia-Longoria,Universidad de Extremadura,Jordi,Figuerola,CSIC- Estación Biológica de Doñana EBD,Jaime,Muriel,CSIC-UCLM - Instituto de Investigacion en Recursos Cinegeticos (IREC),Tamer,Albayrak,Mehmet Akif Ersoy Üniversity,Staffan,Bensch,Molekylär Ekologi och Evolution,Camille,Bonneaud,University of Exeter,Rohan H.,Clarke,Monash University,Gábor,Czirják,Leibniz-Institut für Zoo- und Wildtierforschung,Dimitar,Dimitrov,Institute of Biodiversity and Ecosystem Research at the Bulgarian Academy of Sciences,Kathya,Espinoza,Universidad Cientifica del Sur,John G.,Ewen,Zoological Society of London Institute of Zoology,Farah,Ishtiaq,Tata Institute for Genetics and Society,Wendy,Flores-Saavedra,Universidad Nacional Agraria La Molina,László Zsolt,Garamszegi,Institute of Ecology and Botany,Olof,Hellgren,Molekylär Ekologi och Evolution,Dita,Horakova,Czech Society for Ornithology,Kathryn P.,Huyvaert,Colorado State University,Henrik,Jensen,Norges Teknisk-Naturvitenskapelige Universitet,Asta,Križanauskienė,Vilniaus Universitetas,Marcos R.,Lima,Universidade Estadual de Londrina,Charlene,Lujan-Vega,School of Veterinary Medicine,Eyðfinn,Magnussen,University of the Faroe Islands,Lynn B.,Martin,"University of South Florida, Tampa",Kevin D.,Matson,Wageningen University & Research,Anders Pape,Møller,"Laboratoire Écologie, Systématique et Évolution",Pavel,Munclinger,Charles University
Bishal,Nepal,University of Missouri-St. Louis,Keith J.,Stine,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janet L.,Lauritsen,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yingtong,Wu,University of Missouri-St. Louis,Andrew L.,Hipp,Morton Arboretum,Gregory,Fargo,University of Missouri-St. Louis,Nora,Stith,University of Missouri-St. Louis,Robert E.,Ricklefs,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jianwu,Li,"University of Missouri-St. Louis, Department of Biology",Yuan,Su,Guangxi University,Charles A.,Shapiro,University of Nebraska–Lincoln,Daniel P.,Schachtman,University of Nebraska–Lincoln,Xuemin,Wang,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrea,Giuffre,University of Missouri-St. Louis,Beth M.,Huebner,Arizona State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valerie R.,Anderson,University of Missouri-St. Louis,Shabnam,Javdani,New York University,Sukhmani,Singh,University of Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brigid R.,Marriott,Indiana University School of Medicine,Matthew D.,Kliethermes,University of Missouri-St. Louis,J. Curtis,McMillen,The University of Chicago,Enola K.,Proctor,"Washington University in St. Louis, George Warren Brown School of Social Work",Kristin M.,Hawley,University of Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katie M.,Lawson,Ball State University,Mackenzie J.,Miller,West Virginia University,Kanila L.,Brown,University of Missouri-St. Louis,Chloe M.,Woodling,Ball State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaofang,Bao,Nanjing University of Science and Technology,Xiao,Liu,Nanjing University of Science and Technology,Ran,Dou,Nanjing University of Science and Technology,Sen,Xu,Nanjing University of Science and Technology,Dabin,Liu,Nanjing University of Science and Technology,Jun,Luo,Nanjing University of Science and Technology,Xuedong,Gong,Nanjing University of Science and Technology,Chung F.,Wong,University of Missouri-St. Louis,Baojing,Zhou,Nanjing University of Science and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lihua,Wang,Washington University School of Medicine in St. Louis,Daniel,Western,Washington University School of Medicine in St. Louis,Jigyasha,Timsina,Washington University School of Medicine in St. Louis,Charlie,Repaci,Washington University School of Medicine in St. Louis,Won Min,Song,Icahn School of Medicine at Mount Sinai,Joanne,Norton,Washington University School of Medicine in St. Louis,Pat,Kohlfeld,Washington University School of Medicine in St. Louis,John,Budde,Washington University School of Medicine in St. Louis,Sharlee,Climer,University of Missouri-St. Louis,Omar H.,Butt,Washington University School of Medicine in St. Louis,Daniel,Jacobson,Oak Ridge National Laboratory,Michael,Garvin,Oak Ridge National Laboratory,Alan R.,Templeton,Washington University School of Medicine in St. Louis,Shawn,Campagna,"The University of Tennessee, Knoxville",Jane,O'Halloran,Washington University School of Medicine in St. Louis,Rachel,Presti,Washington University School of Medicine in St. Louis,Charles W.,Goss,Washington University School of Medicine in St. Louis,Philip A.,Mudd,Washington University School of Medicine in St. Louis,Beau M.,Ances,Washington University School of Medicine in St. Louis,Bin,Zhang,Icahn School of Medicine at Mount Sinai,Yun Ju,Sung,Washington University School of Medicine in St. Louis,Carlos,Cruchaga,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,
Allen,Bellas,Metropolitan State University,Lea Rachel,Kosnik,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalen J.,Petersen,Washington University School of Medicine in St. Louis,Tina,Lu,Washington University School of Medicine in St. Louis,Julie,Wisch,Washington University School of Medicine in St. Louis,June,Roman,Washington University School of Medicine in St. Louis,Nicholas,Metcalf,Washington University School of Medicine in St. Louis,Sarah A.,Cooley,Washington University School of Medicine in St. Louis,Ganesh M.,Babulal,Washington University School of Medicine in St. Louis,Rob,Paul,Missouri Institute of Mental Health,Aristeidis,Sotiras,Washington University School of Medicine in St. Louis,Florin,Vaida,"University of California, San Diego",Beau M.,Ances,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kelli E.,Canada,University of Missouri,Ashley,Givens,University of Missouri,Beth M.,Huebner,Arizona State University Downtown Phoenix Campus,Janet,Garcia-Hallett,University of New Haven,Elizabeth,Taylor,University of Missouri,Victoria,Inzana,University of Missouri-St. Louis,Daniel,Edwards,"SOCIAL SERVICES, MISSOURI DEPARTMENT OF",Clark M.,Peters,University of Missouri,Dana,Plunkett Cafourek,"SOCIAL SERVICES, MISSOURI DEPARTMENT OF",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cody,Ding,University of Missouri-St. Louis,Hung Gay,Fung,University of Missouri-St. Louis,Yan,Zhang,Shenyang Normal University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vurayai,Ruhanya,Faculty of Medicine and Health Sciences,Graeme Brendon,Jacobs,Faculty of Medicine and Health Sciences,Robert H.,Paul,University of Missouri-St. Louis,John A.,Joska,University of Cape Town,Soraya,Seedat,Stellenbosch University,George,Nyandoro,University of Zimbabwe,Richard Helmuth,Glashoff,Stellenbosch University,Susan,Engelbrecht,Faculty of Medicine and Health Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hannah E.,Walker,University of Missouri-St. Louis,Kari N.,Thomsen,University of Memphis,Lacy E.,Jamison,University of Memphis,Rachel,Wamser-Nanney,University of Missouri-St. Louis,Kathryn H.,Howell,University of Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K. K.,Mishra,Motilal Nehru National Institute of Technology Allahabad,Navjot,Singh,"Indian Institute of Information Technology, Allahabad",Akash,Punhani,"SRM Institute of Science and Technology, NCR Campus",Sanjiv,Bhatia,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
