author1_fname,author1_lname,author1_institution,author2_fname,author2_lname,author2_institution,author3_fname,author3_lname,author3_institution,author4_fname,author4_lname,author4_institution,author5_fname,author5_lname,author5_institution,author6_fname,author6_lname,author6_institution,author7_fname,author7_lname,author7_institution,author8_fname,author8_lname,author8_institution,author9_fname,author9_lname,author9_institution,author10_fname,author10_lname,author10_institution,author11_fname,author11_lname,author11_institution,author12_fname,author12_lname,author12_institution,author13_fname,author13_lname,author13_institution,author14_fname,author14_lname,author14_institution,author15_fname,author15_lname,author15_institution,author16_fname,author16_lname,author16_institution,author17_fname,author17_lname,author17_institution,author18_fname,author18_lname,author18_institution,author19_fname,author19_lname,author19_institution,author20_fname,author20_lname,author20_institution,author21_fname,author21_lname,author21_institution,author22_fname,author22_lname,author22_institution,author23_fname,author23_lname,author23_institution,author24_fname,author24_lname,author24_institution,author25_fname,author25_lname,author25_institution,author26_fname,author26_lname,author26_institution,author27_fname,author27_lname,author27_institution,author28_fname,author28_lname,author28_institution,author29_fname,author29_lname,author29_institution,author30_fname,author30_lname,author30_institution
Nathan X.,Roth,University of Missouri-St. Louis,Erika L.,Gibb,University of Missouri-St. Louis,Boncho P.,Bonev,American University,Michael A.,Disanti,NASA Goddard Space Flight Center,Neil Dello,Russo,Johns Hopkins University Applied Physics Laboratory,Adam J.,McKay,American University,Ronald J.,Vervack,Johns Hopkins University Applied Physics Laboratory,Hideyo,Kawakita,Kyoto Sangyo University,Mohammad,Saki,University of Missouri-St. Louis,Nicolas,Biver,L'Observatoire de Paris,Dominique,Bockelée-Morvan,L'Observatoire de Paris,Lori M.,Feaga,"University of Maryland, College Park",Nicolas,Fougere,"University of Michigan, Ann Arbor",Anita L.,Cochran,The University of Texas at Austin,Michael,Combi,"University of Michigan, Ann Arbor",Yinsi,Shou,"University of Michigan, Ann Arbor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo A.,Ellis,Lunds Universitet,Alan,Fecchio,Universidade Federal de Mato Grosso,Robert E.,Ricklefs,"University of Missouri-St. Louis, Department of Biology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca,Mott,University of Missouri,John,Tummons,University of Missouri,Jon,Simonsen,University of Missouri,Roxanne,Vandermau,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Natalie,Yoh,University of Kent,Isham,Azhar,Texas Tech University,Katheryn V.,Fitzgerald,Texas Tech University,Rieka,Yu,University of Missouri-St. Louis,Tenaja,Smith-Butler,Texas Tech University,Azniza,Mahyudin,Universiti Malaysia Sabah,Tigga,Kingston,Texas Tech University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benedetta,Milanini,"University of California, San Francisco",Isabel,Allen,"University of California, San Francisco",Robert,Paul,Missouri Institute of Mental Health,Emmanuel,Bahemana,Henry Jackson Foundation MRI,Francis,Kiweewa,Makerere University,Alice,Nambuya,Makerere University,Jonah,Maswai,Walter Reed Army Institute of Research,Rither,Langat,Walter Reed Army Institute of Research,John,Owuoth,Walter Reed Army Institute of Research,Shayanne,Martin,"University of California, San Francisco",Katherine,Possin,"University of California, San Francisco",Allahna,Esber,Walter Reed Army Institute of Research,Christina,Polyak,Walter Reed Army Institute of Research,Julie A.,Ake,Walter Reed Army Institute of Research,Victor,Valcour,"University of California, San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Chang,"University of California, San Francisco",Thomas A.,Premeaux,John A. Burns School of Medicine,Yann,Cobigo,"University of California, San Francisco",Benedetta,Milanini,"University of California, San Francisco",Joanna,Hellmuth,"University of California, San Francisco",Leah H.,Rubin,Johns Hopkins School of Medicine,Shireen,Javandel,"University of California, San Francisco",Isabel,Allen,"University of California, San Francisco",Lishomwa C.,Ndhlovu,John A. Burns School of Medicine,Robert,Paul,Missouri Institute of Mental Health,Victor,Valcour,"University of California, San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Alex,Department of Chemistry and Biochemistry,Satsawat,Visansirikul,Department of Chemistry and Biochemistry,Yongzhen,Zhang,Leiden Institute of Chemistry,Jagodige P.,Yasomanee,Department of Chemistry and Biochemistry,Jeroen,Codee,Leiden Institute of Chemistry,Alexei V.,Demchenko,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiyan,Cai,University of Missouri-St. Louis,Bryan,Goggin,University of Missouri-St. Louis,Qingtang,Jiang,University of Missouri-St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,Fischer-Lodike,Department of Chemistry and Biochemistry,Ameera,Zafar,Department of Chemistry and Biochemistry,James,Chickos,Department of Chemistry and Biochemistry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel E.,Lean,Washington University School of Medicine in St. Louis,Christina N.,Lessov-Shlaggar,Washington University School of Medicine in St. Louis,Emily D.,Gerstein,University of Missouri-St. Louis,Tara A.,Smyser,Washington University School of Medicine in St. Louis,Rachel A.,Paul,Washington University School of Medicine in St. Louis,Christopher D.,Smyser,Washington University School of Medicine in St. Louis,Cynthia E.,Rogers,Washington University School of Medicine in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
